,strdatetime,utcdatetime,close,MA
15219,2017-06-26T09:54:00+08:00,1498442040.0,6533.0,6533.9
15220,2017-06-26T09:55:00+08:00,1498442100.0,6535.0,6533.95
15221,2017-06-26T09:56:00+08:00,1498442160.0,6534.0,6533.95
15222,2017-06-26T09:57:00+08:00,1498442220.0,6532.0,6533.9
15223,2017-06-26T09:58:00+08:00,1498442280.0,6532.0,6533.8
15224,2017-06-26T09:59:00+08:00,1498442340.0,6532.0,6533.7
15225,2017-06-26T10:00:00+08:00,1498442400.0,6538.0,6533.9
15226,2017-06-26T10:01:00+08:00,1498442460.0,6537.0,6534.05
15227,2017-06-26T10:02:00+08:00,1498442520.0,6537.0,6534.2
15228,2017-06-26T10:03:00+08:00,1498442580.0,6536.0,6534.35
15229,2017-06-26T10:04:00+08:00,1498442640.0,6536.0,6534.45
15230,2017-06-26T10:05:00+08:00,1498442700.0,6537.0,6534.65
15231,2017-06-26T10:06:00+08:00,1498442760.0,6538.0,6534.9
15232,2017-06-26T10:07:00+08:00,1498442820.0,6539.0,6535.1
15233,2017-06-26T10:08:00+08:00,1498442880.0,6539.0,6535.3
15234,2017-06-26T10:09:00+08:00,1498442940.0,6540.0,6535.6
15235,2017-06-26T10:10:00+08:00,1498443000.0,6540.0,6535.95
15236,2017-06-26T10:11:00+08:00,1498443060.0,6540.0,6536.2
15237,2017-06-26T10:12:00+08:00,1498443120.0,6539.0,6536.4
15238,2017-06-26T10:13:00+08:00,1498443180.0,6541.0,6536.75
15239,2017-06-26T10:14:00+08:00,1498443240.0,6541.0,6537.15
15240,2017-06-26T10:30:00+08:00,1498444200.0,6541.0,6537.45
15241,2017-06-26T10:31:00+08:00,1498444260.0,6541.0,6537.8
15242,2017-06-26T10:32:00+08:00,1498444320.0,6542.0,6538.3
15243,2017-06-26T10:33:00+08:00,1498444380.0,6540.0,6538.7
15244,2017-06-26T10:34:00+08:00,1498444440.0,6541.0,6539.15
15245,2017-06-26T10:35:00+08:00,1498444500.0,6538.0,6539.15
15246,2017-06-26T10:36:00+08:00,1498444560.0,6538.0,6539.2
15247,2017-06-26T10:37:00+08:00,1498444620.0,6539.0,6539.3
15248,2017-06-26T10:38:00+08:00,1498444680.0,6537.0,6539.35
15249,2017-06-26T10:39:00+08:00,1498444740.0,6538.0,6539.45
15250,2017-06-26T10:40:00+08:00,1498444800.0,6538.0,6539.5
15251,2017-06-26T10:41:00+08:00,1498444860.0,6539.0,6539.55
15252,2017-06-26T10:42:00+08:00,1498444920.0,6539.0,6539.55
15253,2017-06-26T10:43:00+08:00,1498444980.0,6538.0,6539.5
15254,2017-06-26T10:44:00+08:00,1498445040.0,6540.0,6539.5
15255,2017-06-26T10:45:00+08:00,1498445100.0,6539.0,6539.45
15256,2017-06-26T10:46:00+08:00,1498445160.0,6540.0,6539.45
15257,2017-06-26T10:47:00+08:00,1498445220.0,6540.0,6539.5
15258,2017-06-26T10:48:00+08:00,1498445280.0,6539.0,6539.4
15259,2017-06-26T10:49:00+08:00,1498445340.0,6540.0,6539.35
15260,2017-06-26T10:50:00+08:00,1498445400.0,6541.0,6539.35
15261,2017-06-26T10:51:00+08:00,1498445460.0,6542.0,6539.4
15262,2017-06-26T10:52:00+08:00,1498445520.0,6541.0,6539.35
15263,2017-06-26T10:53:00+08:00,1498445580.0,6541.0,6539.4
15264,2017-06-26T10:54:00+08:00,1498445640.0,6541.0,6539.4
15265,2017-06-26T10:55:00+08:00,1498445700.0,6541.0,6539.55
15266,2017-06-26T10:56:00+08:00,1498445760.0,6541.0,6539.7
15267,2017-06-26T10:57:00+08:00,1498445820.0,6541.0,6539.8
15268,2017-06-26T10:58:00+08:00,1498445880.0,6541.0,6540.0
15269,2017-06-26T10:59:00+08:00,1498445940.0,6540.0,6540.1
15270,2017-06-26T11:00:00+08:00,1498446000.0,6539.0,6540.15
15271,2017-06-26T11:01:00+08:00,1498446060.0,6538.0,6540.1
15272,2017-06-26T11:02:00+08:00,1498446120.0,6538.0,6540.05
15273,2017-06-26T11:03:00+08:00,1498446180.0,6537.0,6540.0
15274,2017-06-26T11:04:00+08:00,1498446240.0,6537.0,6539.85
15275,2017-06-26T11:05:00+08:00,1498446300.0,6537.0,6539.75
15276,2017-06-26T11:06:00+08:00,1498446360.0,6539.0,6539.7
15277,2017-06-26T11:07:00+08:00,1498446420.0,6538.0,6539.6
15278,2017-06-26T11:08:00+08:00,1498446480.0,6537.0,6539.5
15279,2017-06-26T11:09:00+08:00,1498446540.0,6538.0,6539.4
15280,2017-06-26T11:10:00+08:00,1498446600.0,6538.0,6539.25
15281,2017-06-26T11:11:00+08:00,1498446660.0,6537.0,6539.0
15282,2017-06-26T11:12:00+08:00,1498446720.0,6537.0,6538.8
15283,2017-06-26T11:13:00+08:00,1498446780.0,6537.0,6538.6
15284,2017-06-26T11:14:00+08:00,1498446840.0,6537.0,6538.4
15285,2017-06-26T11:15:00+08:00,1498446900.0,6536.0,6538.15
15286,2017-06-26T11:16:00+08:00,1498446960.0,6536.0,6537.9
15287,2017-06-26T11:17:00+08:00,1498447020.0,6537.0,6537.7
15288,2017-06-26T11:18:00+08:00,1498447080.0,6537.0,6537.5
15289,2017-06-26T11:19:00+08:00,1498447140.0,6536.0,6537.3
15290,2017-06-26T11:20:00+08:00,1498447200.0,6536.0,6537.15
15291,2017-06-26T11:21:00+08:00,1498447260.0,6536.0,6537.05
15292,2017-06-26T11:22:00+08:00,1498447320.0,6536.0,6536.95
15293,2017-06-26T11:23:00+08:00,1498447380.0,6538.0,6537.0
15294,2017-06-26T11:24:00+08:00,1498447440.0,6539.0,6537.1
15295,2017-06-26T11:25:00+08:00,1498447500.0,6538.0,6537.15
15296,2017-06-26T11:26:00+08:00,1498447560.0,6538.0,6537.1
15297,2017-06-26T11:27:00+08:00,1498447620.0,6539.0,6537.15
15298,2017-06-26T11:28:00+08:00,1498447680.0,6537.0,6537.15
15299,2017-06-26T11:29:00+08:00,1498447740.0,6539.0,6537.2
15300,2017-06-26T13:30:00+08:00,1498455000.0,6538.0,6537.2
15301,2017-06-26T13:31:00+08:00,1498455060.0,6537.0,6537.2
15302,2017-06-26T13:32:00+08:00,1498455120.0,6536.0,6537.15
15303,2017-06-26T13:33:00+08:00,1498455180.0,6538.0,6537.2
15304,2017-06-26T13:34:00+08:00,1498455240.0,6537.0,6537.2
